,region,cache_mode,is_cross_region,average_read_time,average_update_time
0,SGP_1,NO_CACHE,False,0.16720331298666452,0.16739160002666872
1,ORE_1,NO_CACHE,False,0.36098481110974906,0.34406952725000023
2,SGP_1,NO_CACHE,True,0.167095771352945,0.16893171737805038
3,ORE_1,NO_CACHE,True,0.34396823590539904,0.34614385859209346
4,SGP_1,LOCAL,False,0.00399150259035612,0.006463193179108691
5,ORE_1,LOCAL,False,0.1701791733461569,0.17199100451387986
6,SGP_1,LOCAL,True,0.1672239644819308,0.16902949265671674
7,ORE_1,LOCAL,True,0.3440403908571522,0.3463049110757542
8,SGP_1,REDIS,False,0.0044815272769238405,0.007188915858832575
9,ORE_1,REDIS,False,0.17032456547886654,0.172255113632906
10,SGP_1,REDIS,True,0.16746324267857307,0.16934207392423697
11,ORE_1,REDIS,True,0.34399355351282185,0.3461823132638955
12,SGP_1,IDEAL,False,0.003906555686752249,0.0063722051343442655
13,ORE_1,IDEAL,False,0.17124633361538746,0.17306150726389388
14,SGP_1,IDEAL,True,0.1672752328356092,0.16918849212987136
15,ORE_1,IDEAL,True,0.33986978660000206,0.3420064670799972
